"","Survived","Pclass","Name","Sex","Age","Fare","Embarked"
"27","1","1","Ostby, Miss. Helene Ragnhild","female","Adult",61.9792,"C"
"28","0","3","Daher, Mr. Shedid","male","Adult",7.225,"C"
"29","0","1","Brady, Mr. John Bertram","male","Adult",30.5,"S"
"30","0","3","Samaan, Mr. Elias","male","Adult",21.6792,"C"
"31","0","2","Louch, Mr. Charles Alexander","male","Adult",26,"S"
"32","0","2","Jefferys, Mr. Clifford Thomas","male","Adult",31.5,"S"
"33","1","3","Dean, Mrs. Bertram (Eva Georgetta Light)","female","Adult",20.575,"S"
"34","1","3","Johnston, Mrs. Andrew G (Elizabeth Lily"" Watson)""","female","Adult",23.45,"S"
"35","0","1","Mock, Mr. Philipp Edmund","male","Adult",57.75,"C"
"36","0","3","Katavelas, Mr. Vassilios (Catavelas Vassilios"")""","male","Adult",7.2292,"C"
"37","1","3","Roth, Miss. Sarah A","female","Adult",8.05,"S"
"38","1","3","Cacic, Miss. Manda","female","Adult",8.6625,"S"
"39","0","3","Sap, Mr. Julius","male","Adult",9.5,"S"
"40","0","3","Hee, Mr. Ling","male","Adult",56.4958,"S"
"41","0","3","Karun, Mr. Franz","male","Adult",13.4167,"C"
"42","0","1","Franklin, Mr. Thomas Parham","male","Adult",26.55,"S"
"43","0","3","Goldsmith, Mr. Nathan","male","Adult",7.85,"S"
"44","1","2","Corbett, Mrs. Walter H (Irene Colvin)","female","Adult",13,"S"
"45","1","1","Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)","female","Adult",52.5542,"S"
"46","0","3","Peltomaki, Mr. Nikolai Johannes","male","Adult",7.925,"S"
"47","0","1","Chevre, Mr. Paul Romaine","male","Adult",29.7,"C"
"48","0","3","Shaughnessy, Mr. Patrick","male","Adult",7.75,"Q"
"49","1","1","Bucknell, Mrs. William Robert (Emma Eliza Ward)","female","Adult",76.2917,"C"
"50","1","3","Coutts, Mrs. William (Winnie Minnie"" Treanor)""","female","Adult",15.9,"S"
"51","0","1","Smith, Mr. Lucien Philip","male","Adult",60,"S"
"52","0","2","Pulbaum, Mr. Franz","male","Adult",15.0333,"C"
"53","1","2","Hocking, Miss. Ellen Nellie""""","female","Adult",23,"S"
"54","1","1","Fortune, Miss. Ethel Flora","female","Adult",263,"S"
"55","0","2","Mangiavacchi, Mr. Serafino Emilio","male","Adult",15.5792,"C"
"56","0","3","Rice, Master. Albert","male","Child",29.125,"Q"
"57","0","3","Cor, Mr. Bartol","male","Adult",7.8958,"S"
"58","0","3","Abelseth, Mr. Olaus Jorgensen","male","Adult",7.65,"S"
"59","0","3","Davison, Mr. Thomas Henry","male","Adult",16.1,"S"
"60","1","1","Chaudanson, Miss. Victorine","female","Adult",262.375,"C"
"61","0","3","Dika, Mr. Mirko","male","Child",7.8958,"S"
"62","0","2","McCrae, Mr. Arthur Gordon","male","Adult",13.5,"S"
"63","0","3","Bjorklund, Mr. Ernst Herbert","male","Child",7.75,"S"
"64","1","3","Bradley, Miss. Bridget Delia","female","Adult",7.725,"Q"
"65","0","1","Ryerson, Master. John Borie","male","Child",262.375,"C"
"66","1","2","Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)","female","Adult",21,"S"
"67","1","3","Burns, Miss. Mary Delia","female","Child",7.8792,"Q"
"68","0","1","Moore, Mr. Clarence Bloomfield","male","Adult",42.4,"S"
"69","0","1","Tucker, Mr. Gilbert Milligan Jr","male","Adult",28.5375,"C"
"70","1","1","Fortune, Mrs. Mark (Mary McDougald)","female","Adult",263,"S"
"71","1","3","Mulvihill, Miss. Bertha E","female","Adult",7.75,"Q"
"72","0","3","Minkoff, Mr. Lazar","male","Adult",7.8958,"S"
"73","1","3","Nieminen, Miss. Manta Josefina","female","Adult",7.925,"S"
"74","0","1","Ovies y Rodriguez, Mr. Servando","male","Adult",27.7208,"C"
"75","1","1","Geiger, Miss. Amalie","female","Adult",211.5,"C"
"76","0","1","Keeping, Mr. Edwin","male","Adult",211.5,"C"
"77","0","3","Miles, Mr. Frank","male","Adult",8.05,"S"
"78","1","1","Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)","female","Adult",25.7,"S"
"79","0","2","Aldworth, Mr. Charles Augustus","male","Adult",13,"S"
"80","1","3","Doyle, Miss. Elizabeth","female","Adult",7.75,"Q"
"81","0","3","Boulos, Master. Akar","male","Child",15.2458,"C"
"82","0","1","Straus, Mr. Isidor","male","Senior",221.7792,"S"
"83","0","1","Case, Mr. Howard Brown","male","Adult",26,"S"
"84","0","3","Demetri, Mr. Marinko","male","Adult",7.8958,"S"
"85","0","2","Lamb, Mr. John Joseph","male","Adult",10.7083,"Q"
"86","0","3","Khalil, Mr. Betros","male","Adult",14.4542,"C"
"87","1","3","Barry, Miss. Julia","female","Adult",7.8792,"Q"
"88","1","3","Badman, Miss. Emily Louisa","female","Child",8.05,"S"
"89","1","3","O'Donoghue, Ms. Bridget","female","Adult",7.75,"Q"
"90","0","2","Wells, Master. Ralph Lester","male","Child",23,"S"
"91","1","3","Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)","female","Adult",13.9,"S"
"92","0","3","Pedersen, Mr. Olaf","male","Adult",7.775,"S"
"93","1","1","Davidson, Mrs. Thornton (Orian Hays)","female","Adult",52,"S"
"94","0","3","Guest, Mr. Robert","male","Adult",8.05,"S"
"95","0","1","Birnbaum, Mr. Jakob","male","Adult",26,"C"
"96","0","3","Tenglin, Mr. Gunnar Isidor","male","Adult",7.7958,"S"
"97","1","1","Cavendish, Mrs. Tyrell William (Julia Florence Siegel)","female","Senior",78.85,"S"
"98","0","3","Makinen, Mr. Kalle Edvard","male","Adult",7.925,"S"
"99","1","3","Braf, Miss. Elin Ester Maria","female","Adult",7.8542,"S"
"100","0","3","Nancarrow, Mr. William Henry","male","Adult",8.05,"S"
"101","1","1","Stengel, Mrs. Charles Emil Henry (Annie May Morris)","female","Adult",55.4417,"C"
"102","0","2","Weisz, Mr. Leopold","male","Adult",26,"S"
"103","0","3","Foley, Mr. William","male","Adult",7.75,"Q"
"104","0","3","Johansson Palmquist, Mr. Oskar Leander","male","Adult",7.775,"S"
"105","1","3","Thomas, Mrs. Alexander (Thamine Thelma"")""","female","Child",8.5167,"C"
"106","0","3","Holthen, Mr. Johan Martin","male","Adult",22.525,"S"
"107","0","3","Buckley, Mr. Daniel","male","Adult",7.8208,"Q"
"108","0","3","Ryan, Mr. Edward","male","Adult",7.75,"Q"
"109","0","3","Willer, Mr. Aaron (Abi Weller"")""","male","Adult",8.7125,"S"
"110","0","2","Swane, Mr. George","male","Adult",13,"S"
"111","0","2","Stanton, Mr. Samuel Ward","male","Adult",15.0458,"C"
"112","1","3","Shine, Miss. Ellen Natalia","female","Adult",7.7792,"Q"
"113","1","1","Evans, Miss. Edith Corse","female","Adult",31.6792,"C"
"114","1","3","Buckley, Miss. Katherine","female","Adult",7.2833,"Q"
"115","1","1","Straus, Mrs. Isidor (Rosalie Ida Blun)","female","Senior",221.7792,"S"
"116","0","3","Chronopoulos, Mr. Demetrios","male","Child",14.4542,"C"
"117","0","3","Thomas, Mr. John","male","Adult",6.4375,"C"
"118","1","3","Sandstrom, Miss. Beatrice Irene","female","Child",16.7,"S"
"119","0","1","Beattie, Mr. Thomson","male","Adult",75.2417,"C"
"120","1","2","Chapman, Mrs. John Henry (Sara Elizabeth Lawry)","female","Adult",26,"S"
"121","1","2","Watt, Miss. Bertha J","female","Child",15.75,"S"
"122","0","3","Kiernan, Mr. John","male","Adult",7.75,"Q"
"123","1","1","Schabert, Mrs. Paul (Emma Mock)","female","Adult",57.75,"C"
"124","0","3","Carver, Mr. Alfred John","male","Adult",7.25,"S"
"125","0","3","Kennedy, Mr. John","male","Adult",7.75,"Q"
"126","1","3","Cribb, Miss. Laura Alice","female","Child",16.1,"S"
"127","0","3","Brobeck, Mr. Karl Rudolf","male","Adult",7.7958,"S"
"128","1","3","McCoy, Miss. Alicia","female","Adult",23.25,"Q"
"129","0","2","Bowenur, Mr. Solomon","male","Adult",13,"S"
"130","0","3","Petersen, Mr. Marius","male","Adult",8.05,"S"
"131","0","3","Spinner, Mr. Henry John","male","Adult",8.05,"S"
"132","0","1","Gracie, Col. Archibald IV","male","Adult",28.5,"C"
"133","1","3","Lefebre, Mrs. Frank (Frances)","female","Adult",25.4667,"S"
"134","0","3","Thomas, Mr. Charles P","male","Adult",6.4375,"C"
"135","0","3","Dintcheff, Mr. Valtcho","male","Adult",7.8958,"S"
"136","0","3","Carlsson, Mr. Carl Robert","male","Adult",7.8542,"S"
"137","0","3","Zakarian, Mr. Mapriededer","male","Adult",7.225,"C"
"138","0","2","Schmidt, Mr. August","male","Adult",13,"S"
"139","1","3","Drapkin, Miss. Jennie","female","Adult",8.05,"S"
"140","0","3","Goodwin, Mr. Charles Frederick","male","Adult",46.9,"S"
"141","1","3","Goodwin, Miss. Jessie Allis","female","Child",46.9,"S"
"142","1","1","Daniels, Miss. Sarah","female","Adult",151.55,"S"
"143","0","1","Ryerson, Mr. Arthur Larned","male","Senior",262.375,"C"
"144","0","2","Beauchamp, Mr. Henry James","male","Adult",26,"S"
"145","0","1","Lindeberg-Lind, Mr. Erik Gustaf (Mr Edward Lingrey"")""","male","Adult",26.55,"S"
"146","0","3","Vander Planke, Mr. Julius","male","Adult",18,"S"
"147","0","1","Hilliard, Mr. Herbert Henry","male","Adult",51.8625,"S"
"148","0","3","Davies, Mr. Evan","male","Adult",8.05,"S"
"149","0","1","Crafton, Mr. John Bertram","male","Adult",26.55,"S"
"150","0","2","Lahtinen, Rev. William","male","Adult",26,"S"
"151","1","1","Earnshaw, Mrs. Boulton (Olive Potter)","female","Adult",83.1583,"C"
"152","0","3","Matinoff, Mr. Nicola","male","Adult",7.8958,"C"
"153","0","3","Storey, Mr. Thomas","male","Senior",35.63,"S"
"154","1","3","Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)","female","Adult",12.1833,"S"
"155","0","3","Asplund, Master. Filip Oscar","male","Child",31.3875,"S"
"156","0","3","Duquemin, Mr. Joseph","male","Adult",7.55,"S"
"157","1","1","Bird, Miss. Ellen","female","Adult",221.7792,"S"
"158","1","3","Lundin, Miss. Olga Elida","female","Adult",7.8542,"S"
"159","0","1","Borebank, Mr. John James","male","Adult",26.55,"S"
"160","1","3","Peacock, Mrs. Benjamin (Edith Nile)","female","Adult",13.775,"S"
"161","1","3","Smyth, Miss. Julia","female","Adult",7.7333,"Q"
"162","0","3","Touma, Master. Georges Youssef","male","Child",15.2458,"C"
"163","1","2","Wright, Miss. Marion","female","Adult",13.5,"S"
"164","0","3","Pearce, Mr. Ernest","male","Adult",7,"S"
"165","0","2","Peruschitz, Rev. Joseph Maria","male","Adult",13,"S"
"166","1","3","Kink-Heilmann, Mrs. Anton (Luise Heilmann)","female","Adult",22.025,"S"
"167","0","1","Brandeis, Mr. Emil","male","Adult",50.4958,"C"
"168","0","3","Ford, Mr. Edward Watson","male","Child",34.375,"S"
"169","1","1","Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)","female","Adult",27.7208,"C"
"170","1","3","Hellstrom, Miss. Hilda Maria","female","Adult",8.9625,"S"
"171","0","3","Lithman, Mr. Simon","male","Adult",7.55,"S"
"172","0","3","Zakarian, Mr. Ortin","male","Adult",7.225,"C"
"173","0","3","Dyker, Mr. Adolf Fredrik","male","Adult",13.9,"S"
"174","0","3","Torfa, Mr. Assad","male","Adult",7.2292,"C"
"175","0","3","Asplund, Mr. Carl Oscar Vilhelm Gustafsson","male","Adult",31.3875,"S"
"176","1","2","Brown, Miss. Edith Eileen","female","Child",39,"S"
"177","1","2","Sincock, Miss. Maude","female","Adult",36.75,"S"
"178","0","1","Stengel, Mr. Charles Emil Henry","male","Adult",55.4417,"C"
"179","1","2","Becker, Mrs. Allen Oliver (Nellie E Baumgardner)","female","Adult",39,"S"
"180","1","1","Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)","female","Senior",83.1583,"C"
"181","0","2","McCrie, Mr. James Matthew","male","Adult",13,"S"
"182","0","1","Compton, Mr. Alexander Taylor Jr","male","Adult",83.1583,"C"
"183","1","1","Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)","female","Child",53.1,"S"
"184","0","3","Lane, Mr. Patrick","male","Adult",7.75,"Q"
"185","1","1","Douglas, Mrs. Frederick Charles (Mary Helene Baxter)","female","Adult",247.5208,"C"
"186","0","2","Maybery, Mr. Frank Hubert","male","Adult",16,"S"
"187","1","2","Phillips, Miss. Alice Frances Louisa","female","Adult",21,"S"
"188","0","3","Davies, Mr. Joseph","male","Child",8.05,"S"
"189","1","3","Sage, Miss. Ada","female","Adult",69.55,"S"
"190","0","2","Veal, Mr. James","male","Adult",13,"S"
"191","0","2","Angle, Mr. William A","male","Adult",26,"S"
"192","0","1","Salomon, Mr. Abraham L","male","Adult",26,"S"
"193","0","3","van Billiard, Master. Walter John","male","Child",14.5,"S"
"194","0","2","Lingane, Mr. John","male","Senior",12.35,"Q"
"195","0","2","Drew, Master. Marshall Brines","male","Child",32.5,"S"
"196","0","3","Karlsson, Mr. Julius Konrad Eugen","male","Adult",7.8542,"S"
"197","0","1","Spedden, Master. Robert Douglas","male","Child",134.5,"C"
"198","1","3","Nilsson, Miss. Berta Olivia","female","Child",7.775,"S"
"199","0","2","Baimbrigge, Mr. Charles Robert","male","Adult",10.5,"S"
"200","1","3","Rasmussen, Mrs. (Lena Jacobsen Solvang)","female","Adult",8.1125,"S"
"201","1","3","Murphy, Miss. Nora","female","Adult",15.5,"Q"
"202","0","3","Danbom, Master. Gilbert Sigvard Emanuel","male","Child",14.4,"S"
"203","0","1","Astor, Col. John Jacob","male","Adult",227.525,"C"
"204","1","2","Quick, Miss. Winifred Vera","female","Child",26,"S"
"205","0","2","Andrew, Mr. Frank Thomas","male","Adult",10.5,"S"
"206","0","1","Omont, Mr. Alfred Fernand","male","Adult",25.7417,"C"
"207","1","3","McGowan, Miss. Katherine","female","Adult",7.75,"Q"
"208","0","2","Collett, Mr. Sidney C Stuart","male","Adult",10.5,"S"
"209","1","1","Rosenbaum, Miss. Edith Louise","female","Adult",27.7208,"C"
"210","0","3","Delalic, Mr. Redjo","male","Adult",7.8958,"S"
"211","0","3","Andersen, Mr. Albert Karvin","male","Adult",22.525,"S"
"212","0","3","Finoli, Mr. Luigi","male","Adult",7.05,"S"
"213","0","2","Deacon, Mr. Percy William","male","Child",73.5,"S"
"214","1","2","Howard, Mrs. Benjamin (Ellen Truelove Arman)","female","Adult",26,"S"
"215","1","3","Andersson, Miss. Ida Augusta Margareta","female","Adult",7.775,"S"
"216","0","1","Head, Mr. Christopher","male","Adult",42.5,"S"
"217","1","3","Mahon, Miss. Bridget Delia","female","Adult",7.8792,"Q"
"218","0","1","Wick, Mr. George Dennick","male","Adult",164.8667,"S"
"219","1","1","Widener, Mrs. George Dunton (Eleanor Elkins)","female","Adult",211.5,"C"
"220","0","3","Thomson, Mr. Alexander Morrison","male","Adult",8.05,"S"
"221","1","2","Duran y More, Miss. Florentina","female","Adult",13.8583,"C"
"222","0","3","Reynolds, Mr. Harold J","male","Adult",8.05,"S"
"223","1","2","Cook, Mrs. (Selena Rogers)","female","Adult",10.5,"S"
"224","0","3","Karlsson, Mr. Einar Gervasius","male","Adult",7.7958,"S"
"225","1","1","Candee, Mrs. Edward (Helen Churchill Hungerford)","female","Adult",27.4458,"C"
"226","1","3","Moubarek, Mrs. George (Omine Amenia"" Alexander)""","female","Adult",15.2458,"C"
"227","0","3","Asplund, Mr. Johan Charles","male","Adult",7.7958,"S"
"228","1","3","McNeill, Miss. Bridget","female","Adult",7.75,"Q"
"229","0","3","Everett, Mr. Thomas James","male","Adult",15.1,"S"
"230","0","2","Hocking, Mr. Samuel James Metcalfe","male","Adult",13,"S"
"231","0","2","Sweet, Mr. George Frederick","male","Child",65,"S"
"232","1","1","Willard, Miss. Constance","female","Adult",26.55,"S"
"233","0","3","Wiklund, Mr. Karl Johan","male","Adult",6.4958,"S"
"234","0","3","Linehan, Mr. Michael","male","Adult",7.8792,"Q"
"235","0","1","Cumings, Mr. John Bradley","male","Adult",71.2833,"C"
"236","0","3","Vendel, Mr. Olof Edvin","male","Adult",7.8542,"S"
"237","0","1","Warren, Mr. Frank Manley","male","Senior",75.25,"C"
"238","0","3","Baccos, Mr. Raffull","male","Adult",7.225,"C"
"239","1","2","Hiltunen, Miss. Marta","female","Child",13,"S"
"240","1","1","Douglas, Mrs. Walter Donald (Mahala Dutton)","female","Adult",106.425,"C"
"241","1","1","Lindstrom, Mrs. Carl Johan (Sigrid Posse)","female","Adult",27.7208,"C"
"242","1","2","Christy, Mrs. (Alice Frances)","female","Adult",30,"S"
"243","0","1","Spedden, Mr. Frederic Oakley","male","Adult",134.5,"C"
"244","0","3","Hyman, Mr. Abraham","male","Adult",7.8875,"S"
"245","0","3","Johnston, Master. William Arthur Willie""""","male","Adult",23.45,"S"
"246","0","1","Kenyon, Mr. Frederick R","male","Adult",51.8625,"S"
"247","1","2","Karnes, Mrs. J Frank (Claire Bennett)","female","Adult",21,"S"
"248","0","2","Drew, Mr. James Vivian","male","Adult",32.5,"S"
"249","1","2","Hold, Mrs. Stephen (Annie Margaret Hill)","female","Adult",26,"S"
"250","1","3","Khalil, Mrs. Betros (Zahie Maria"" Elias)""","female","Adult",14.4542,"C"
"251","1","2","West, Miss. Barbara J","female","Child",27.75,"S"
"252","0","3","Abrahamsson, Mr. Abraham August Johannes","male","Adult",7.925,"S"
"253","0","1","Clark, Mr. Walter Miller","male","Adult",136.7792,"C"
"254","0","3","Salander, Mr. Karl Johan","male","Adult",9.325,"S"
"255","0","3","Wenzel, Mr. Linhart","male","Adult",9.5,"S"
"256","0","3","MacKay, Mr. George William","male","Adult",7.55,"S"
"257","0","3","Mahon, Mr. John","male","Adult",7.75,"Q"
"258","0","3","Niklasson, Mr. Samuel","male","Adult",8.05,"S"
"259","1","2","Bentham, Miss. Lilian W","female","Adult",13,"S"
"260","0","3","Midtsjo, Mr. Karl Albert","male","Adult",7.775,"S"
"261","0","3","de Messemaeker, Mr. Guillaume Joseph","male","Adult",17.4,"S"
"262","0","3","Nilsson, Mr. August Ferdinand","male","Adult",7.8542,"S"
"263","1","2","Wells, Mrs. Arthur Henry (Addie"" Dart Trevaskis)""","female","Adult",23,"S"
"264","1","3","Klasen, Miss. Gertrud Emilia","female","Child",12.1833,"S"
"265","0","2","Portaluppi, Mr. Emilio Ilario Giuseppe","male","Adult",12.7375,"C"
"266","0","3","Lyntakoff, Mr. Stanko","male","Adult",7.8958,"S"
"267","0","1","Chisholm, Mr. Roderick Robert Crispin","male","Adult",0,"S"
"268","0","3","Warren, Mr. Charles William","male","Adult",7.55,"S"
"269","1","3","Howard, Miss. May Elizabeth","female","Adult",8.05,"S"
"270","0","3","Pokrnic, Mr. Mate","male","Child",8.6625,"S"
"271","0","1","McCaffry, Mr. Thomas Francis","male","Adult",75.2417,"C"
"272","0","3","Fox, Mr. Patrick","male","Adult",7.75,"Q"
"273","1","1","Clark, Mrs. Walter Miller (Virginia McDowell)","female","Adult",136.7792,"C"
"274","1","3","Lennon, Miss. Mary","female","Adult",15.5,"Q"
"275","0","3","Saade, Mr. Jean Nassr","male","Adult",7.225,"C"
"276","1","2","Bryhl, Miss. Dagmar Jenny Ingeborg ","female","Adult",26,"S"
"277","0","2","Parker, Mr. Clifford Richard","male","Adult",10.5,"S"
"278","0","2","Faunthorpe, Mr. Harry","male","Adult",26,"S"
"279","0","2","Ware, Mr. John James","male","Adult",21,"S"
"280","0","2","Oxenham, Mr. Percy Thomas","male","Adult",10.5,"S"
"281","1","3","Oreskovic, Miss. Jelka","female","Adult",8.6625,"S"
"282","0","3","Peacock, Master. Alfred Edward","male","Child",13.775,"S"
"283","1","3","Fleming, Miss. Honora","female","Adult",7.75,"Q"
"284","1","3","Touma, Miss. Maria Youssef","female","Child",15.2458,"C"
"285","1","3","Rosblom, Miss. Salli Helena","female","Child",20.2125,"S"
"286","0","3","Dennis, Mr. William","male","Adult",7.25,"S"
"287","0","3","Franklin, Mr. Charles (Charles Fardon)","male","Adult",7.25,"S"
"288","0","1","Snyder, Mr. John Pillsbury","male","Adult",82.2667,"S"
"289","0","3","Mardirosian, Mr. Sarkis","male","Adult",7.2292,"C"
"290","0","3","Ford, Mr. Arthur","male","Adult",8.05,"S"
"291","0","1","Rheims, Mr. George Alexander Lucien","male","Adult",39.6,"S"
"292","1","3","Daly, Miss. Margaret Marcella Maggie""""","female","Adult",6.95,"Q"
"293","0","3","Nasr, Mr. Mustafa","male","Adult",7.2292,"C"
"294","0","1","Dodge, Dr. Washington","male","Adult",81.8583,"S"
"295","0","3","Wittevrongel, Mr. Camille","male","Adult",9.5,"S"
"296","0","3","Angheloff, Mr. Minko","male","Adult",7.8958,"S"
"297","1","2","Laroche, Miss. Louise","female","Child",41.5792,"C"
"298","0","3","Samaan, Mr. Hanna","male","Adult",21.6792,"C"
"299","0","1","Loring, Mr. Joseph Holland","male","Adult",45.5,"S"
"300","0","3","Johansson, Mr. Nils","male","Adult",7.8542,"S"
"301","0","3","Olsson, Mr. Oscar Wilhelm","male","Adult",7.775,"S"
"302","0","2","Malachard, Mr. Noel","male","Adult",15.0458,"C"
"303","0","2","Phillips, Mr. Escott Robert","male","Adult",21,"S"
"304","0","3","Pokrnic, Mr. Tome","male","Adult",8.6625,"S"
"305","1","3","McCarthy, Miss. Catherine Katie""""","female","Adult",7.75,"Q"
"306","1","1","Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)","female","Senior",26.55,"S"
"307","0","1","Allison, Mr. Hudson Joshua Creighton","male","Adult",151.55,"S"
"308","0","3","Aks, Master. Philip Frank","male","Child",9.35,"S"
"309","0","1","Hays, Mr. Charles Melville","male","Adult",93.5,"S"
"310","1","3","Hansen, Mrs. Claus Peter (Jennie L Howard)","female","Adult",14.1083,"S"
"311","0","3","Cacic, Mr. Jego Grga","male","Child",8.6625,"S"
"312","0","3","Vartanian, Mr. David","male","Adult",7.225,"C"
"313","0","3","Sadowitz, Mr. Harry","male","Adult",7.575,"S"
"314","1","3","Carr, Miss. Jeannie","female","Adult",7.75,"Q"
"315","1","1","White, Mrs. John Stuart (Ella Holmes)","female","Adult",135.6333,"C"
"316","1","3","Hagardon, Miss. Kate","female","Child",7.7333,"Q"
"317","0","1","Spencer, Mr. William Augustus","male","Adult",146.5208,"C"
"318","0","2","Rogers, Mr. Reginald Harry","male","Adult",10.5,"S"
"319","0","3","Jonsson, Mr. Nils Hilding","male","Adult",7.8542,"S"
"320","0","2","Jefferys, Mr. Ernest Wilfred","male","Adult",31.5,"S"
"321","0","3","Andersson, Mr. Johan Samuel","male","Adult",7.775,"S"
"322","0","3","Krekorian, Mr. Neshan","male","Adult",7.2292,"C"
"323","0","2","Nesson, Mr. Israel","male","Adult",13,"S"
"324","0","1","Rowe, Mr. Alfred G","male","Adult",26.55,"S"
"325","1","1","Kreuchen, Miss. Emilie","female","Adult",211.3375,"S"
"326","0","3","Assam, Mr. Ali","male","Adult",7.05,"S"
"327","1","2","Becker, Miss. Ruth Elizabeth","female","Child",39,"S"
"328","0","1","Rosenshine, Mr. George (Mr George Thorne"")""","male","Adult",79.2,"C"
"329","0","2","Clarke, Mr. Charles Valentine","male","Adult",26,"S"
"330","0","2","Enander, Mr. Ingvar","male","Adult",13,"S"
"331","1","2","Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ","female","Adult",36.75,"S"
"332","0","1","Dulles, Mr. William Crothers","male","Adult",29.7,"C"
"333","0","3","Thomas, Mr. Tannous","male","Adult",7.225,"C"
"334","1","3","Nakid, Mrs. Said (Waika Mary"" Mowad)""","female","Adult",15.7417,"C"
"335","0","3","Cor, Mr. Ivan","male","Adult",7.8958,"S"
"336","0","1","Maguire, Mr. John Edward","male","Adult",26,"S"
"337","0","2","de Brito, Mr. Jose Joaquim","male","Adult",13,"S"
"338","0","3","Elias, Mr. Joseph","male","Adult",7.2292,"C"
"339","0","2","Denbury, Mr. Herbert","male","Adult",31.5,"S"
"340","0","3","Betros, Master. Seman","male","Adult",7.2292,"C"
"341","0","2","Fillbrook, Mr. Joseph Charles","male","Child",10.5,"S"
"342","0","3","Lundstrom, Mr. Thure Edvin","male","Adult",7.5792,"S"
"343","0","3","Sage, Mr. John George","male","Adult",69.55,"S"
"344","1","1","Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)","female","Adult",512.3292,"C"
"345","0","3","van Billiard, Master. James William","male","Adult",14.5,"S"
"346","1","3","Abelseth, Miss. Karen Marie","female","Child",7.65,"S"
"347","0","2","Botsford, Mr. William Hull","male","Adult",13,"S"
"348","1","3","Whabee, Mrs. George Joseph (Shawneene Abi-Saab)","female","Adult",7.2292,"C"
"349","0","2","Giles, Mr. Ralph","male","Adult",13.5,"S"
"350","1","2","Walcroft, Miss. Nellie","female","Adult",21,"S"
"351","1","1","Greenfield, Mrs. Leo David (Blanche Strouse)","female","Adult",63.3583,"C"
"352","0","2","Stokes, Mr. Philip Joseph","male","Adult",10.5,"S"
"353","0","2","Dibden, Mr. William","male","Child",73.5,"S"
"354","0","2","Herman, Mr. Samuel","male","Adult",65,"S"
"355","1","3","Dean, Miss. Elizabeth Gladys Millvina""""","female","Child",20.575,"S"
"356","0","1","Julian, Mr. Henry Forbes","male","Adult",26,"S"
"357","1","1","Brown, Mrs. John Murray (Caroline Lane Lamson)","female","Adult",51.4792,"S"
"358","0","3","Lockyer, Mr. Edward","male","Adult",7.8792,"S"
